name,age,height,exercise,dob
Francesca,145,5.48,true,1/29/2023
Wallis,146,5.87,false,8/23/2022
Drake,147,6.03,false,7/16/2022
Raff,148,6.68,true,9/16/2022
Emmaline,149,5.29,false,1/13/2023
Lynea,150,5.13,false,2/17/2023
Terence,151,6.51,false,3/7/2023
Esdras,152,6.12,false,4/24/2023
Balduin,153,6.97,true,7/21/2022
,154,5.74,,7/24/2022
,155,6.87,,8/16/2022
Erny,156,5.49,false,8/26/2022
Josee,157,6.84,false,8/22/2022
Artemus,,,true,
Norrie,159,5.49,true,11/28/2022
Monica,160,6.04,true,11/13/2022
,161,6.41,,8/26/2022
Vinny,162,5.12,true,9/19/2022
Byran,163,6.2,true,7/12/2022
Letty,,,false,
Austin,165,6.2,true,2/7/2023
Cathryn,166,6.63,true,6/27/2022
Mikael,167,5.95,true,9/24/2022
Ellwood,168,5.41,false,9/16/2022
Torry,169,5.7,false,3/6/2023
Petronilla,170,5.64,false,7/26/2022
Elinor,171,6.91,false,2/8/2023
Esmaria,,,true,
,173,6.55,,12/13/2022
,174,6.22,,5/24/2022
,175,5.39,,3/30/2023
,176,5.95,,11/9/2022
Ashly,,,false,
,178,6.0,,1/29/2023
Casey,179,5.82,true,4/10/2023
Clarey,180,5.23,true,1/14/2023
Nils,,,true,
,182,6.61,,9/8/2022
,183,6.59,,11/18/2022
,184,5.01,,6/10/2022
Rosalynd,185,5.99,false,1/4/2023
,186,5.28,,9/21/2022
Julina,187,5.82,true,7/2/2022
Yancey,188,6.74,true,4/3/2023
Kippy,189,6.96,false,10/25/2022
Jannel,190,5.14,true,12/18/2022
Tammara,191,6.69,false,7/2/2022
Smitty,192,5.9,true,10/29/2022
Hall,193,6.64,true,2/24/2023
Odell,194,6.38,true,6/15/2022
,195,5.87,,8/7/2022
,196,6.54,,7/9/2022
Thaine,197,5.98,true,4/21/2023
Boyce,198,6.74,true,3/26/2023
Robbie,,,false,
Bev,200,6.96,true,6/1/2022
Alexine,201,6.59,false,6/20/2022
Yardley,202,6.48,false,1/5/2023
Harmonie,203,6.33,false,4/15/2023
Tedra,,,false,
Decca,205,6.58,true,7/23/2022
Thatch,206,5.64,true,9/13/2022
Sol,207,6.04,true,2/5/2023
Bobinette,,,false,
Mathian,209,6.83,false,5/6/2023
Lisa,210,5.42,false,11/26/2022
Arron,211,5.82,false,4/14/2023
Johnathan,212,6.92,false,5/8/2023
Cam,213,5.25,false,7/14/2022
Anne-marie,214,6.72,false,1/11/2023
,215,6.55,,7/16/2022
Juanita,216,6.43,false,5/12/2023
Rebeca,217,5.95,true,3/25/2023
,218,5.81,,3/7/2023
,219,6.1,,1/26/2023
Joanne,220,6.16,true,11/4/2022
,,,,
Lin,222,5.87,true,7/29/2022
Gerrilee,223,5.87,false,1/4/2023
Siffre,224,5.59,true,2/12/2023
,225,6.67,,7/5/2022
Cynthy,226,6.78,false,1/21/2023
Lefty,227,5.24,true,2/8/2023
Hillier,228,6.31,true,11/17/2022
Gabie,229,6.61,false,8/21/2022
,230,5.94,,8/22/2022
Osgood,231,6.05,true,10/4/2022
,232,5.18,,12/30/2022
,233,6.77,,2/28/2023
Malcolm,234,6.12,true,4/2/2023
Ralph,235,6.56,true,8/7/2022
Ellwood,236,6.95,false,10/4/2022
,237,6.43,,6/7/2022
,238,5.39,,3/12/2023
Nisse,239,6.38,true,1/16/2023
Marilee,240,6.28,false,12/26/2022
Charlton,241,6.11,false,1/28/2023
Keary,242,6.78,false,8/4/2022
Ardelis,243,6.58,false,4/22/2023
Bobette,244,6.5,true,5/29/2022
,245,5.72,,7/2/2022
Ginevra,,,true,
,247,6.09,,4/25/2023
Cornie,248,6.33,false,8/26/2022
Rowena,,,true,
Garwood,250,6.89,true,7/27/2022
Libbie,251,5.69,true,2/24/2023
Janel,252,6.96,true,9/1/2022
Udell,253,6.07,false,1/2/2023
Noak,254,6.87,true,12/7/2022
Carree,255,5.45,false,8/12/2022
,,,,
Lurlene,257,6.07,false,3/2/2023
Fred,258,6.64,true,10/7/2022
Faulkner,259,5.99,true,11/17/2022
Regine,260,6.76,true,6/29/2022
Catriona,261,5.2,true,8/13/2022
,262,5.47,,4/28/2023
Maryl,263,5.34,true,12/7/2022
James,,,false,
,265,6.83,,4/4/2023
Winnie,266,6.72,false,10/4/2022
Ashlie,,,true,
Drew,268,6.93,true,8/19/2022
Kath,269,6.67,true,3/1/2023
Napoleon,270,5.09,false,9/10/2022
Cletis,271,5.42,false,6/5/2022
Shelley,272,6.18,false,6/17/2022
Laurella,273,5.9,true,4/27/2023
Corinne,274,5.57,true,11/1/2022
,275,6.14,,12/7/2022
,276,6.24,,12/29/2022
Boot,277,6.46,true,6/12/2022
,278,6.84,,8/24/2022
Dolorita,279,5.86,false,6/7/2022
Dodi,280,6.47,false,7/27/2022
Philipa,281,5.62,false,7/7/2022
Ermin,282,5.24,false,7/2/2022
Brittan,283,5.02,false,9/4/2022
Marisa,,,true,
Alric,285,5.87,false,2/1/2023
,286,6.08,,9/12/2022
Nels,287,5.52,true,2/4/2023
Britte,288,5.98,false,1/14/2023
Roderick,289,5.54,false,9/1/2022
Corette,290,5.22,true,4/12/2023
,291,5.98,,1/30/2023
Valera,292,6.78,false,3/7/2023
Jandy,,,false,
,294,5.28,,7/19/2022
Olwen,295,6.47,false,4/24/2023
Den,296,6.39,false,9/20/2022
Ariel,297,5.55,true,9/15/2022
Ira,298,6.49,false,12/22/2022
Kassie,299,6.2,false,3/12/2023
Andreana,300,6.33,false,4/26/2023
Farra,301,5.89,false,6/25/2022
Dennie,302,6.33,false,5/30/2022
Cody,303,5.8,true,12/6/2022
Beret,304,6.15,true,9/17/2022
Herculie,,,false,
Merle,,,false,
,307,6.81,,1/27/2023
Andi,308,6.43,true,10/25/2022
,309,5.53,,12/18/2022
Ebenezer,310,6.12,false,11/17/2022
Annabal,311,5.4,true,10/19/2022
Heddie,312,6.17,false,11/29/2022
Sanson,313,5.54,false,6/13/2022
Vernen,,,false,
Terrance,315,6.59,true,1/12/2023
,316,6.6,,8/18/2022
,317,6.99,,6/14/2022
,318,5.71,,8/4/2022
,319,6.47,,11/13/2022
Lauretta,320,5.96,false,11/21/2022
,321,5.97,,4/15/2023
Eloisa,322,5.37,false,11/22/2022
Elnore,323,5.72,true,4/25/2023
Jessamyn,324,6.13,true,4/6/2023
Timofei,325,5.59,false,7/18/2022
Alan,326,5.27,false,10/11/2022
Max,327,5.9,true,3/21/2023
Nannie,328,5.75,false,2/24/2023
Inessa,329,5.74,true,9/30/2022
Mitchael,330,6.47,true,2/16/2023
Terza,331,5.46,true,2/22/2023
Terry,332,6.84,true,10/22/2022
Perla,333,6.82,true,9/11/2022
Winona,334,5.69,false,4/18/2023
Horatia,335,5.17,true,3/6/2023
Rhetta,336,5.96,true,8/20/2022
,337,6.86,,7/14/2022
Mikey,338,6.48,true,6/12/2022
Ximenez,339,6.82,false,3/29/2023
Kiri,,,true,
,341,5.29,,5/1/2023
,342,5.49,,2/24/2023
Isidora,343,5.58,true,8/20/2022
,344,5.74,,8/8/2022
Mallory,345,5.73,true,9/2/2022
Rivkah,,,false,
Hartwell,347,6.86,true,7/19/2022
Joycelin,348,5.21,true,10/17/2022
Eldridge,349,6.01,true,8/6/2022
Rona,350,6.4,false,6/27/2022
Arvin,351,5.8,false,8/13/2022
,352,5.79,,12/20/2022
,353,5.53,,1/19/2023
,354,5.86,,9/1/2022
Jeri,355,5.24,false,10/1/2022
Shanna,356,6.97,false,4/27/2023
,357,6.39,,10/16/2022
,358,6.28,,9/24/2022
,,,,
Jeth,360,6.1,true,12/13/2022
Gradeigh,361,5.05,true,5/27/2022
Huntley,362,6.68,true,10/24/2022
Steffi,363,5.24,true,7/5/2022
,364,5.95,,1/8/2023
Cassandra,365,6.21,true,11/17/2022
,366,6.92,,11/7/2022
Viviyan,367,6.4,true,9/22/2022
Avrit,368,5.38,false,5/20/2023
Otis,369,6.94,true,10/23/2022
,370,5.86,,4/23/2023
Nissa,371,6.0,false,8/1/2022
Dev,372,6.53,true,5/11/2023
Hebert,373,5.48,true,6/2/2022
,374,6.85,,10/8/2022
Kalli,375,6.16,true,11/20/2022
Galven,376,5.14,true,11/6/2022
Vivian,377,6.76,false,4/23/2023
Winnifred,378,6.1,true,2/10/2023
Geordie,379,5.8,true,11/15/2022
Broderic,,,true,
,381,5.9,,9/30/2022
Eddy,382,5.64,false,7/10/2022
Jesse,383,6.74,true,11/16/2022
Misti,384,5.52,true,4/17/2023
Mady,385,6.69,false,11/4/2022
Corabelle,386,6.28,true,7/9/2022
Angelle,387,6.1,false,6/26/2022
Theo,,,true,
Reinaldo,389,5.62,false,8/2/2022
Morey,390,6.11,false,9/6/2022
Muhammad,391,5.65,false,12/14/2022
Erena,392,6.69,false,12/24/2022
,393,6.08,,11/10/2022
Duffy,394,6.2,false,9/27/2022
Gorden,,,false,
Elana,396,5.88,true,1/13/2023
Garreth,397,5.67,true,8/20/2022
Aurlie,398,6.69,true,4/26/2023
Garey,399,6.84,false,3/26/2023
Happy,400,5.78,true,6/14/2022
Hobie,401,5.41,false,7/28/2022
August,402,5.97,false,10/10/2022
Frederik,403,5.31,true,10/22/2022
Faythe,404,6.25,true,5/25/2022
Marline,405,6.61,false,1/4/2023
,406,6.09,,12/4/2022
Worthington,407,5.96,true,11/24/2022
Matelda,408,5.17,false,9/11/2022
Vonny,409,6.53,false,12/15/2022
Maximilian,410,5.51,false,8/1/2022
Sonny,411,6.68,true,10/22/2022
Rosalie,412,5.77,false,2/2/2023
Augie,413,6.28,false,9/6/2022
,414,5.42,,1/28/2023
Delainey,415,5.17,false,3/9/2023
Caroljean,416,6.0,false,1/16/2023
Sonia,417,6.12,true,6/18/2022
Danya,418,5.54,true,5/18/2023
Hadleigh,419,5.75,true,1/3/2023
Jacquelin,420,6.91,false,12/7/2022
Joannes,421,5.01,false,2/7/2023
,422,5.02,,8/3/2022
Milo,423,5.24,true,9/9/2022
,424,5.19,,3/2/2023
,425,5.08,,3/21/2023
Siusan,426,6.84,false,6/8/2022
Noelani,427,5.72,true,7/7/2022
Patty,,,false,
Tremayne,429,6.97,false,6/25/2022
Winna,430,5.23,false,9/19/2022
Olivette,431,6.71,false,8/29/2022
Tamarra,432,6.42,false,7/22/2022
,433,6.59,,7/3/2022
,434,6.02,,6/28/2022
Charis,435,6.67,false,4/19/2023
Kaye,436,6.92,false,6/28/2022
,437,5.57,,10/20/2022
Erhard,438,6.23,false,6/24/2022
Loralie,,,true,
Beckie,440,6.39,false,6/9/2022
Eldredge,441,6.01,true,4/11/2023
Caye,442,6.28,false,8/30/2022
,,,,
Jaime,444,5.71,false,4/18/2023
Zandra,445,6.43,false,3/2/2023
Dyna,446,5.48,true,3/24/2023
,,,,
Mirella,448,6.09,false,10/24/2022
Xavier,449,5.81,true,11/3/2022
Adah,450,6.4,false,5/26/2022
,451,6.87,,12/21/2022
Eveleen,452,6.28,false,3/2/2023
,453,6.64,,9/7/2022
Wit,454,5.29,true,12/5/2022
Ham,455,6.85,false,8/2/2022
Harland,,,true,
Davie,457,5.66,true,5/24/2022
,458,5.17,,7/6/2022
Garek,459,6.3,true,8/29/2022
Caz,460,6.31,false,5/25/2022
Margit,461,5.69,false,7/12/2022
Daryle,462,5.95,true,4/15/2023
Joyann,463,5.45,false,1/24/2023
Tabitha,464,5.92,false,3/30/2023
Nat,465,6.99,true,9/18/2022
Camilla,466,6.32,true,11/26/2022
,467,5.14,,10/29/2022
Opal,468,6.51,false,1/12/2023
,469,6.3,,10/19/2022
,470,5.46,,2/16/2023
Niki,471,6.36,false,4/10/2023
,472,6.44,,1/24/2023
Meggi,473,6.52,true,1/25/2023
Stefa,474,6.93,true,6/14/2022
Martina,475,5.79,true,7/1/2022
Mary,476,6.08,false,1/16/2023
Lian,477,6.75,true,5/29/2022
Jeromy,478,5.6,true,10/6/2022
,479,6.53,,9/12/2022
Anestassia,480,6.91,true,6/13/2022
Cherrita,481,5.66,false,10/24/2022
Winslow,,,false,
Dene,483,6.73,true,10/21/2022
,484,6.09,,6/23/2022
Gregorio,485,6.67,false,11/5/2022
Malia,486,5.32,false,1/4/2023
Jeramie,,,true,
,488,5.62,,10/4/2022
Bax,489,6.65,false,9/28/2022
Angus,490,5.41,false,1/21/2023
,491,6.68,,1/10/2023
,492,6.66,,7/29/2022
Dalston,493,6.25,false,4/23/2023
Amalea,494,5.73,false,10/4/2022
Foss,495,5.85,false,1/8/2023
Rebbecca,496,6.37,true,9/22/2022
Derek,497,6.65,false,8/31/2022
Brooks,498,6.94,false,6/4/2022
Charity,499,6.21,false,5/12/2023
Michaela,500,6.31,false,2/1/2023
Eberhard,501,6.95,false,9/3/2022
Lindsey,502,5.35,true,1/22/2023
Sacha,503,6.47,true,9/1/2022
Tandie,504,6.02,false,2/18/2023
Letisha,505,6.49,false,5/22/2022
Eleanora,506,5.2,false,7/18/2022
Moises,507,6.46,false,1/16/2023
Beck,508,5.87,false,7/11/2022
Teena,509,6.51,false,1/28/2023
,510,5.62,,6/28/2022
Robinia,511,5.59,true,1/28/2023
Evie,512,5.31,false,4/22/2023
,,,,
Christi,,,false,
Elsworth,515,5.07,true,1/30/2023
Briant,516,5.34,true,2/26/2023
,517,6.32,,9/3/2022
Tamiko,518,6.68,false,12/29/2022
,,,,
Pasquale,520,6.22,true,2/5/2023
,521,5.05,,2/19/2023
Dallis,522,6.55,true,4/17/2023
Alikee,523,6.29,false,11/1/2022
Demetria,524,6.4,false,1/26/2023
Judy,525,5.57,true,1/27/2023
,526,6.79,,7/10/2022
Reagen,527,5.02,false,10/3/2022
,528,5.85,,3/27/2023
,529,5.69,,4/18/2023
Peri,530,5.17,true,6/16/2022
Theodosia,531,6.74,false,12/30/2022
Aubine,532,5.06,true,11/30/2022
,533,5.51,,8/21/2022
Pauli,534,6.59,true,7/26/2022
Cindie,535,6.03,false,4/9/2023
,536,5.12,,5/26/2022
Thorny,537,6.24,true,4/9/2023
Kristian,538,6.37,false,9/11/2022
Fitzgerald,539,5.73,true,2/16/2023
,540,5.89,,8/7/2022
Freida,541,6.37,false,8/13/2022
Evita,542,6.06,false,9/14/2022
Matthew,543,6.86,false,6/19/2022
,544,5.88,,9/3/2022
Martita,545,5.97,false,6/17/2022
Alikee,,,true,
Rosemarie,547,6.11,true,6/3/2022
Rolland,548,6.9,true,2/15/2023
Bealle,549,6.96,false,6/28/2022
Job,550,6.11,true,6/14/2022
Neille,551,6.04,false,4/18/2023
Benedicto,552,5.68,true,5/17/2023
Malcolm,553,5.98,true,9/11/2022
,554,6.64,,9/18/2022
Sallee,555,6.38,true,8/25/2022
Agna,,,false,
Charlot,557,5.9,false,10/10/2022
Ondrea,558,5.34,true,12/25/2022
Ivory,559,5.84,true,2/12/2023
,,,,
Dorene,561,5.64,false,4/2/2023
,562,5.09,,10/13/2022
Davin,563,5.54,false,9/26/2022
,564,5.32,,9/30/2022
Frannie,565,6.44,true,3/22/2023
Ellary,566,5.06,false,5/20/2023
Almira,567,5.57,true,1/3/2023
Brice,568,5.66,false,3/12/2023
Meggy,569,6.12,false,5/31/2022
Gretta,570,5.93,true,4/24/2023
Leonardo,571,6.33,false,4/25/2023
Arch,572,5.03,true,12/31/2022
Elnar,,,true,
Wini,574,5.87,true,10/23/2022
Emmi,575,6.29,true,1/25/2023
,576,6.43,,7/24/2022
Ailsun,577,5.71,true,9/12/2022
,578,6.95,,5/18/2023
Marieann,579,6.4,false,5/11/2023
Mallissa,580,5.93,false,3/9/2023
Augustin,581,6.73,false,7/24/2022
Shurlock,,,false,
Gabie,583,5.17,true,3/25/2023
Duke,584,6.18,false,5/18/2023
Peder,585,5.52,false,12/9/2022
Antony,586,5.43,false,4/21/2023
Fons,587,5.9,false,5/15/2023
Charlean,588,5.08,false,5/2/2023
Elwira,589,5.19,true,6/18/2022
Marlon,590,5.19,false,3/11/2023
Tresa,591,5.84,true,7/21/2022
Kiah,592,6.74,true,10/8/2022
Franny,593,5.0,true,6/15/2022
Freeman,594,6.53,true,7/13/2022
,595,6.46,,12/25/2022
Krissie,596,5.64,false,5/1/2023
Jaimie,597,5.84,true,1/19/2023
,598,5.77,,11/7/2022
Andre,599,5.74,true,3/27/2023
Ali,600,5.3,true,8/29/2022
Mira,601,5.31,true,6/25/2022
Shea,602,5.81,false,3/6/2023
Freeman,603,6.16,true,12/15/2022
Anthiathia,604,5.19,true,5/24/2022
Elvira,605,6.76,true,11/20/2022
Webb,606,5.62,true,5/8/2023
Adolf,,,false,
Farr,,,false,
Stefanie,609,5.97,true,2/19/2023
Gaylor,610,5.67,true,6/7/2022
,611,6.4,,3/18/2023
Griffie,,,true,
,613,5.49,,5/23/2022
Katuscha,614,6.85,true,3/6/2023
Aubree,615,5.07,false,12/19/2022
Kayla,616,6.8,false,11/20/2022
,617,5.09,,5/5/2023
Lacie,618,5.96,true,4/14/2023
Godard,619,5.45,true,3/15/2023
Ileana,620,6.62,true,2/13/2023
Giusto,621,5.48,true,4/20/2023
Nolie,,,false,
,623,6.82,,12/12/2022
Octavius,624,5.8,true,9/4/2022
,625,5.38,,5/27/2022
Cordelia,626,6.41,true,8/16/2022
Artemis,627,6.66,false,11/25/2022
Giusto,628,5.39,true,2/16/2023
Joann,629,6.76,false,5/25/2022
,630,6.92,,3/6/2023
Jonathon,631,5.46,true,12/31/2022
Cordelia,632,5.45,true,10/14/2022
Archibaldo,633,6.44,false,3/31/2023
,634,6.95,,7/13/2022
,635,6.82,,7/13/2022
Gaven,636,5.32,false,6/23/2022
Lenora,637,5.01,false,11/14/2022
Barrett,638,5.45,true,7/14/2022
Reinaldo,639,5.85,false,2/11/2023
Mortimer,640,5.04,false,8/21/2022
Edwina,641,5.45,true,9/23/2022
Clayborn,642,5.84,false,10/28/2022
Maurizio,643,5.66,true,5/3/2023
Danice,644,6.78,false,3/29/2023
,,,,
Daryn,646,6.96,false,4/19/2023
Lyon,647,5.64,false,5/6/2023
Emyle,648,6.25,true,12/5/2022
Urbano,649,6.97,false,5/30/2022
Wynnie,650,5.49,false,11/27/2022
Cammy,651,6.86,true,11/9/2022
Humfried,652,6.45,true,9/2/2022
Trever,,,true,
Callida,654,6.69,false,4/1/2023
Lydia,655,5.52,true,2/28/2023
Baillie,656,5.35,true,1/19/2023
Wash,657,6.46,true,3/19/2023
Neddie,658,5.05,true,8/31/2022
Yankee,659,6.7,true,9/28/2022
Reeta,660,5.9,false,10/17/2022
Philip,661,5.4,true,10/17/2022
Cory,662,6.69,false,1/7/2023
Mendie,663,6.91,true,10/13/2022
,664,6.42,,4/10/2023
,665,5.08,,1/5/2023
Pearce,666,6.82,true,10/27/2022
Roderick,667,6.33,true,1/7/2023
,668,6.23,,5/26/2022
Fair,669,6.93,false,7/12/2022
,670,6.69,,5/29/2022
Chelsae,671,5.96,false,1/12/2023
Chester,672,6.31,true,6/10/2022
Melisent,673,5.35,false,6/19/2022
Anne-marie,674,6.66,true,7/30/2022
Keary,675,6.02,false,2/28/2023
Warde,,,true,
Malynda,677,6.83,false,6/23/2022
Tiphani,678,5.22,false,5/14/2023
Nikolia,679,5.58,false,8/28/2022
Jamesy,680,6.61,true,9/27/2022
Karil,681,6.12,true,6/2/2022
Ingrid,682,6.87,false,6/9/2022
Robb,683,5.0,false,2/24/2023
Janith,684,6.13,false,8/23/2022
Cati,685,6.63,false,9/14/2022
Daniella,686,5.79,true,11/16/2022
Wyndham,687,6.9,false,3/5/2023
Myrtie,,,true,
Lark,689,6.12,true,9/15/2022
Rozanna,690,5.41,false,2/25/2023
Nappy,691,5.49,true,12/29/2022
Lynda,692,6.3,true,11/8/2022
Judie,693,6.71,true,6/19/2022
,694,6.41,,1/26/2023
Marleah,695,5.75,true,11/29/2022
Matty,696,5.09,false,4/4/2023
Cahra,697,5.93,true,3/19/2023
Kevina,698,6.8,false,9/9/2022
Nicolais,699,5.22,false,11/7/2022
Terri,700,6.7,false,2/16/2023
Pincus,701,5.54,true,6/18/2022
,,,,
Jeniece,703,6.29,false,7/18/2022
,,,,
,705,5.63,,4/26/2023
,706,5.92,,3/4/2023
Samantha,707,5.47,false,6/10/2022
Osmund,708,5.24,false,3/20/2023
Hank,709,6.3,true,8/30/2022
Chaddie,710,5.13,true,9/15/2022
,711,6.85,,5/21/2023
Babs,712,5.36,false,11/21/2022
,,,,
Micheline,714,5.26,false,12/25/2022
Perice,715,5.56,false,4/11/2023
Joey,716,5.98,false,11/30/2022
Denys,717,6.14,true,3/27/2023
Jessica,718,6.64,true,12/10/2022
Fenelia,719,5.55,true,11/30/2022
Matthaeus,720,6.53,true,5/16/2023
Emera,721,6.2,true,7/14/2022
Ingram,722,5.14,false,4/4/2023
Poul,723,6.74,true,9/23/2022
,,,,
Zondra,,,false,
Edita,726,5.19,true,5/14/2023
Tomi,727,6.25,true,9/26/2022
Ardis,728,6.94,false,12/31/2022
Artemis,729,6.62,true,9/8/2022
Glad,730,5.73,true,3/26/2023
Belita,731,6.31,false,8/13/2022
Wald,732,5.23,false,8/19/2022
Nefen,733,6.62,true,4/19/2023
,734,6.13,,2/1/2023
Tabbitha,735,6.4,false,3/29/2023
Billie,736,5.68,true,11/3/2022
Lem,737,5.95,true,4/8/2023
Josee,738,5.45,true,3/3/2023
Darn,739,6.83,false,7/1/2022
,740,5.7,,12/17/2022
Luise,741,6.61,false,10/4/2022
Glynda,742,5.46,false,3/22/2023
Jared,743,5.59,false,1/24/2023
Erminie,744,6.07,true,5/4/2023
Greer,745,5.25,false,12/8/2022
Anne,746,6.89,true,5/27/2022
,747,6.41,,12/8/2022
,748,6.0,,12/12/2022
Crin,749,6.48,false,10/8/2022
Christopher,750,6.95,true,2/16/2023
,751,5.29,,5/18/2023
,,,,
,753,6.29,,9/23/2022
Laney,754,5.45,false,3/19/2023
Heall,755,6.04,false,4/12/2023
,756,6.32,,7/26/2022
Carly,757,6.35,true,12/16/2022
Abby,758,5.89,true,10/4/2022
Quinta,759,5.22,true,8/31/2022
Haroun,760,5.75,true,9/6/2022
Dode,761,6.35,false,1/29/2023
Estella,762,5.97,false,3/22/2023
Xena,763,5.46,false,7/7/2022
Lanette,764,5.99,true,6/2/2022
Thorny,765,6.21,true,11/30/2022
,766,5.59,,12/15/2022
Lindsey,767,5.71,true,5/30/2022
Trenna,768,5.84,false,7/30/2022
,769,6.04,,5/13/2023
Beatrisa,,,true,
Ivar,771,5.53,true,10/26/2022
Edgardo,772,5.73,true,9/21/2022
Phaidra,,,false,
Lilli,774,5.14,true,7/23/2022
Elisha,775,6.93,false,3/13/2023
Brandie,776,5.6,false,10/9/2022
Nomi,777,5.35,true,12/16/2022
